"country","type","title","release_year","listed_in","description"
"India","Movie","Kaminey",2009,"International Movies","A young man pursues his dreams of wealth by breaking the law, while his twin brother tries to better his life through hard work and honesty."
"India","Movie","Kaminey",2009,"Music & Musicals","A young man pursues his dreams of wealth by breaking the law, while his twin brother tries to better his life through hard work and honesty."
"India","Movie","Samantaral",2017,"Dramas","On a family visit, a young man and his girlfriend set out to discover why his eccentric uncle has been mysteriously confined to one room for years."
"India","Movie","Samantaral",2017,"International Movies","On a family visit, a young man and his girlfriend set out to discover why his eccentric uncle has been mysteriously confined to one room for years."
"India","TV Show","7 (Seven)",2019,"TV Shows","Multiple women report their husbands as missing but when it appears they are looking for the same man, a police officer traces their cryptic connection."
"India","Movie","Haapus",2010,"Comedies","The son of an astrologer faces opposition from his superstitious father regarding his scheme of launching a mango business."
"India","Movie","Haapus",2010,"Dramas","The son of an astrologer faces opposition from his superstitious father regarding his scheme of launching a mango business."
"India","Movie","Haapus",2010,"International Movies","The son of an astrologer faces opposition from his superstitious father regarding his scheme of launching a mango business."
"India","Movie","Hostages",2017,"Documentaries","Witnesses recount the shocking 1996 hostage crisis in Lima, Peru, where rebels held scores of high-level figures captive at an ambassador's residence."
"India","Movie","Hostages",2017,"International Movies","Witnesses recount the shocking 1996 hostage crisis in Lima, Peru, where rebels held scores of high-level figures captive at an ambassador's residence."
"India","Movie","7 Khoon Maaf",2011,"Dramas","Spiced liberally with black comedy, this Bollywood drama follows the lethal love life of a woman who marries numerous men – only to find them flawed."
"India","Movie","7 Khoon Maaf",2011,"International Movies","Spiced liberally with black comedy, this Bollywood drama follows the lethal love life of a woman who marries numerous men – only to find them flawed."
"India","Movie","7 Khoon Maaf",2011,"Thrillers","Spiced liberally with black comedy, this Bollywood drama follows the lethal love life of a woman who marries numerous men – only to find them flawed."
"India","Movie","Mumbai Cha Raja",2012,"Dramas","This coming-of-age tale follows Rahul, a young boy growing up in a Mumbai slum whose alcoholic father abuses him and his mother."
"India","Movie","Mumbai Cha Raja",2012,"Independent Movies","This coming-of-age tale follows Rahul, a young boy growing up in a Mumbai slum whose alcoholic father abuses him and his mother."
"India","Movie","Mumbai Cha Raja",2012,"International Movies","This coming-of-age tale follows Rahul, a young boy growing up in a Mumbai slum whose alcoholic father abuses him and his mother."
"India","Movie","Andhaghaaram",2020,"Horror Movies","As a blind librarian, dispirited cricketer and desolate psychiatrist each seek retribution and release, their lives overlap under eerie influences."
"India","Movie","Andhaghaaram",2020,"International Movies","As a blind librarian, dispirited cricketer and desolate psychiatrist each seek retribution and release, their lives overlap under eerie influences."
"India","Movie","Andhaghaaram",2020,"Thrillers","As a blind librarian, dispirited cricketer and desolate psychiatrist each seek retribution and release, their lives overlap under eerie influences."
"India","Movie","Autohead",2016,"Dramas","A production crew that thinks it's making a documentary about a humble Mumbai rickshaw driver unmasks a horrifying truth about their film's subject."
"India","Movie","Autohead",2016,"International Movies","A production crew that thinks it's making a documentary about a humble Mumbai rickshaw driver unmasks a horrifying truth about their film's subject."
"India","Movie","Autohead",2016,"Thrillers","A production crew that thinks it's making a documentary about a humble Mumbai rickshaw driver unmasks a horrifying truth about their film's subject."
"India","Movie","Aadu 2",2017,"Comedies","When Shaji Pappan and his gang of goofy outlaws find themselves low on funds, they plan to once again win a hefty prize in a tug-of-war competition."
"India","Movie","Aadu 2",2017,"International Movies","When Shaji Pappan and his gang of goofy outlaws find themselves low on funds, they plan to once again win a hefty prize in a tug-of-war competition."
"India","Movie","Punjab 1984",2014,"Dramas","During a time of political turmoil, a mother goes on a journey in search of her missing son, who has been misjudged and labeled a terrorist."
"India","Movie","Punjab 1984",2014,"International Movies","During a time of political turmoil, a mother goes on a journey in search of her missing son, who has been misjudged and labeled a terrorist."
"India","Movie","Aalorukkam",2018,"Dramas","When an aging father seeks the help of a doctor and a journalist to look for the son who left him 16 years ago, he learns some surprising truths."
"India","Movie","Aalorukkam",2018,"Independent Movies","When an aging father seeks the help of a doctor and a journalist to look for the son who left him 16 years ago, he learns some surprising truths."
"India","Movie","Aalorukkam",2018,"International Movies","When an aging father seeks the help of a doctor and a journalist to look for the son who left him 16 years ago, he learns some surprising truths."
"India","Movie","Aamir",2008,"International Movies","In this high-tension thriller, an anonymous caller on a cell phone threatens to harm a man's family if he doesn't carry out every order."
"India","Movie","Aamir",2008,"Thrillers","In this high-tension thriller, an anonymous caller on a cell phone threatens to harm a man's family if he doesn't carry out every order."
"India","Movie","Devrai",2004,"Dramas","After science student Shesh Shahi – a shy eccentric with a strange connection to nature – is examined by a team of mental hospital doctors, a gripping portrait of schizophrenia emerges."
"India","Movie","Devrai",2004,"International Movies","After science student Shesh Shahi – a shy eccentric with a strange connection to nature – is examined by a team of mental hospital doctors, a gripping portrait of schizophrenia emerges."
"India","Movie","Hombanna",2017,"Dramas","In the forests of Karnataka, a farmer and his community face eviction from the land when they get caught in the currents of socio-political change."
"India","Movie","Hombanna",2017,"International Movies","In the forests of Karnataka, a farmer and his community face eviction from the land when they get caught in the currents of socio-political change."
"India","Movie","Aarakshan",2011,"Dramas","The decision by India's supreme court to establish caste-based reservations for jobs in education causes conflict between a teacher and his mentor."
"India","Movie","Aarakshan",2011,"International Movies","The decision by India's supreme court to establish caste-based reservations for jobs in education causes conflict between a teacher and his mentor."
"India","Movie","Mantostaan",2017,"Dramas","Four stories by writer Sadaat Hasan Manto culminate in a single gruesome drama that's set during the partitioning of the Indian subcontinent."
"India","Movie","Mantostaan",2017,"Independent Movies","Four stories by writer Sadaat Hasan Manto culminate in a single gruesome drama that's set during the partitioning of the Indian subcontinent."
"India","Movie","Mantostaan",2017,"International Movies","Four stories by writer Sadaat Hasan Manto culminate in a single gruesome drama that's set during the partitioning of the Indian subcontinent."
"India","Movie","Game Over (Hindi Version)",2019,"Horror Movies","As a series of murders hit close to home, a video game designer with post-traumatic stress must confront her demons, or risk becoming their victim."
"India","Movie","Game Over (Hindi Version)",2019,"International Movies","As a series of murders hit close to home, a video game designer with post-traumatic stress must confront her demons, or risk becoming their victim."
"India","Movie","Game Over (Hindi Version)",2019,"Thrillers","As a series of murders hit close to home, a video game designer with post-traumatic stress must confront her demons, or risk becoming their victim."
"India","Movie","Pardes",1997,"Dramas","Prompted by loyalty, Arjun plays matchmaker between his philandering foster brother and a conservative girl but winds up falling in love himself."
"India","Movie","Pardes",1997,"International Movies","Prompted by loyalty, Arjun plays matchmaker between his philandering foster brother and a conservative girl but winds up falling in love himself."
"India","Movie","Pardes",1997,"Romantic Movies","Prompted by loyalty, Arjun plays matchmaker between his philandering foster brother and a conservative girl but winds up falling in love himself."
"India","Movie","Game Over (Telugu Version)",2019,"Horror Movies","As a series of murders hit close to home, a video game designer with PTSD must confront her demons, or risk becoming their victim."
"India","Movie","Game Over (Telugu Version)",2019,"International Movies","As a series of murders hit close to home, a video game designer with PTSD must confront her demons, or risk becoming their victim."
"India","Movie","Game Over (Telugu Version)",2019,"Thrillers","As a series of murders hit close to home, a video game designer with PTSD must confront her demons, or risk becoming their victim."
"India","Movie","Dhh",2017,"Children & Family Movies","Convinced only a miracle can save them from failing school exams, a trio of friends seek help from a magician. To their surprise, he gamely complies."
"India","Movie","Dhh",2017,"Dramas","Convinced only a miracle can save them from failing school exams, a trio of friends seek help from a magician. To their surprise, he gamely complies."
"India","Movie","Dhh",2017,"International Movies","Convinced only a miracle can save them from failing school exams, a trio of friends seek help from a magician. To their surprise, he gamely complies."
"India","Movie","Singham",2011,"Action & Adventure","A police inspector kills himself after a powerful gangster frames him for corruption – but soon the thug faces the full force of cop Bajirao Singham."
"India","Movie","Singham",2011,"Dramas","A police inspector kills himself after a powerful gangster frames him for corruption – but soon the thug faces the full force of cop Bajirao Singham."
"India","Movie","Singham",2011,"International Movies","A police inspector kills himself after a powerful gangster frames him for corruption – but soon the thug faces the full force of cop Bajirao Singham."
"India","Movie","Sudani from Nigeria",2018,"Comedies","When a soccer club manager brings one of his injured foreign players home to recuperate, they form an unlikely bond despite their cultural differences."
"India","Movie","Sudani from Nigeria",2018,"Dramas","When a soccer club manager brings one of his injured foreign players home to recuperate, they form an unlikely bond despite their cultural differences."
"India","Movie","Sudani from Nigeria",2018,"International Movies","When a soccer club manager brings one of his injured foreign players home to recuperate, they form an unlikely bond despite their cultural differences."
"India","Movie","Tiger",2016,"Action & Adventure","Imprisoned for drug smuggling as a child, a young man uses the law he studied while in jail to take revenge on those who wronged him."
"India","Movie","Tiger",2016,"Dramas","Imprisoned for drug smuggling as a child, a young man uses the law he studied while in jail to take revenge on those who wronged him."
"India","Movie","Tiger",2016,"International Movies","Imprisoned for drug smuggling as a child, a young man uses the law he studied while in jail to take revenge on those who wronged him."
"India","TV Show","ChuChu TV Nursery Rhymes & Kids Songs (Hindi)",2019,"Kids' TV","This educational series for tiny tots features a toe-tapping spin on nursery rhymes with upbeat tunes and a diverse set of easy-to-follow lessons."
"India","Movie","Angry Indian Goddesses",2015,"Dramas","A photographer invites a close-knit group of female pals to her Goa home to announce her engagement, which stirs up a riot of emotion in all of them."
"India","Movie","Angry Indian Goddesses",2015,"Independent Movies","A photographer invites a close-knit group of female pals to her Goa home to announce her engagement, which stirs up a riot of emotion in all of them."
"India","Movie","Angry Indian Goddesses",2015,"International Movies","A photographer invites a close-knit group of female pals to her Goa home to announce her engagement, which stirs up a riot of emotion in all of them."
"India","TV Show","Darr Sabko Lagta Hai",2015,"International TV Shows","In this chilling horror anthology series, actress and model Bipasha Basu meets people who have had disconcerting paranormal experiences."
"India","TV Show","Darr Sabko Lagta Hai",2015,"TV Horror","In this chilling horror anthology series, actress and model Bipasha Basu meets people who have had disconcerting paranormal experiences."
"India","TV Show","Darr Sabko Lagta Hai",2015,"TV Thrillers","In this chilling horror anthology series, actress and model Bipasha Basu meets people who have had disconcerting paranormal experiences."
"India","Movie","Force 2",2016,"Action & Adventure","An ex-cop investigates the death of his best friend and two other spies, killings that lead to a mole operating from India's embassy in Budapest."
"India","Movie","Force 2",2016,"International Movies","An ex-cop investigates the death of his best friend and two other spies, killings that lead to a mole operating from India's embassy in Budapest."
"India","Movie","Mallesham",2019,"Dramas","A self-trained engineer risks debt, love and reputation in his quest to improve the grueling work conditions of his mother and her weaving community."
"India","Movie","Mallesham",2019,"Independent Movies","A self-trained engineer risks debt, love and reputation in his quest to improve the grueling work conditions of his mother and her weaving community."
"India","Movie","Mallesham",2019,"International Movies","A self-trained engineer risks debt, love and reputation in his quest to improve the grueling work conditions of his mother and her weaving community."
"India","Movie","Chadi Jawani Budhe Nu",1976,"Comedies","After reaching his 40th birthday, an egotistical businessman kicks off his midlife crisis by deciding to secure a mistress."
"India","Movie","Chadi Jawani Budhe Nu",1976,"International Movies","After reaching his 40th birthday, an egotistical businessman kicks off his midlife crisis by deciding to secure a mistress."
"India","Movie","Chadi Jawani Budhe Nu",1976,"Romantic Movies","After reaching his 40th birthday, an egotistical businessman kicks off his midlife crisis by deciding to secure a mistress."
"India","Movie","Nathicharami",2018,"Dramas","Reeling from the loss of her husband, a widow struggles to fulfill her physical and emotional desires despite social taboos around female sexuality."
"India","Movie","Nathicharami",2018,"Independent Movies","Reeling from the loss of her husband, a widow struggles to fulfill her physical and emotional desires despite social taboos around female sexuality."
"India","Movie","Nathicharami",2018,"International Movies","Reeling from the loss of her husband, a widow struggles to fulfill her physical and emotional desires despite social taboos around female sexuality."
"India","Movie","B.A. Pass 2",2017,"Dramas","A young woman eager to avoid an arranged marriage moves to Mumbai, where she learns hard truths about show business, life and love."
"India","Movie","B.A. Pass 2",2017,"International Movies","A young woman eager to avoid an arranged marriage moves to Mumbai, where she learns hard truths about show business, life and love."
"India","Movie","Waiting",2015,"Dramas","While visiting his comatose wife in the hospital, a serene old professor befriends a vibrant young woman whose husband has also fallen into a coma."
"India","Movie","Waiting",2015,"International Movies","While visiting his comatose wife in the hospital, a serene old professor befriends a vibrant young woman whose husband has also fallen into a coma."
"India","Movie","Krish Trish and Baltiboy: The Greatest Trick",2013,"Children & Family Movies","The consequences of trickery are explored in stories involving an inconsiderate husband, two greedy courtiers, and a kind man who loses everything."
"India","Movie","Bodyguard",2011,"Action & Adventure","Irked by her bodyguard, an heiress invents a secret admirer to throw him off his duties, but the plan may backfire when she falls for him."
"India","Movie","Bodyguard",2011,"Comedies","Irked by her bodyguard, an heiress invents a secret admirer to throw him off his duties, but the plan may backfire when she falls for him."
"India","Movie","Bodyguard",2011,"International Movies","Irked by her bodyguard, an heiress invents a secret admirer to throw him off his duties, but the plan may backfire when she falls for him."
"India","Movie","A Flying Jatt",2016,"Action & Adventure","A timid man gets unexpected superpowers while trying to save his family's land and a sacred tree from a ruthless tycoon."
"India","Movie","A Flying Jatt",2016,"International Movies","A timid man gets unexpected superpowers while trying to save his family's land and a sacred tree from a ruthless tycoon."
"India","Movie","A Flying Jatt",2016,"Sci-Fi & Fantasy","A timid man gets unexpected superpowers while trying to save his family's land and a sacred tree from a ruthless tycoon."
"India","Movie","Sarvam Thaala Mayam (Tamil Version)",2018,"Dramas","An aspiring musician battles age-old caste divides to be able to learn the art of a classical instrument from a traditionalist, veteran percussionist."
"India","Movie","Sarvam Thaala Mayam (Tamil Version)",2018,"International Movies","An aspiring musician battles age-old caste divides to be able to learn the art of a classical instrument from a traditionalist, veteran percussionist."
"India","Movie","Sarvam Thaala Mayam (Tamil Version)",2018,"Music & Musicals","An aspiring musician battles age-old caste divides to be able to learn the art of a classical instrument from a traditionalist, veteran percussionist."
"India","Movie","Tribhanga - Tedhi Medhi Crazy",2021,"Dramas","When her estranged mother falls into a coma, a self-made single mom grapples with regret and resentment while reflecting on their strained relationship."
"India","Movie","Tribhanga - Tedhi Medhi Crazy",2021,"International Movies","When her estranged mother falls into a coma, a self-made single mom grapples with regret and resentment while reflecting on their strained relationship."
"India","Movie","Ankhon Dekhi",2013,"Dramas","After a distressing incident, a Delhi man vows to believe only what he can see, but his new ideals soon take his life in extreme directions."
"India","Movie","Ankhon Dekhi",2013,"Independent Movies","After a distressing incident, a Delhi man vows to believe only what he can see, but his new ideals soon take his life in extreme directions."
"India","Movie","Ankhon Dekhi",2013,"International Movies","After a distressing incident, a Delhi man vows to believe only what he can see, but his new ideals soon take his life in extreme directions."
"India","Movie","Fashion",2008,"Dramas","A small-town girl finally realizes her dream of becoming a famous supermodel but soon finds there's a price for her glamorous new life."
"India","Movie","Fashion",2008,"International Movies","A small-town girl finally realizes her dream of becoming a famous supermodel but soon finds there's a price for her glamorous new life."
"India","Movie","Jaane Tu... Ya Jaane Na",2008,"Comedies","Soft-spoken Jai and spitfire beauty Aditi couldn't be more different – but their family and friends know that they're a perfect match."
"India","Movie","Jaane Tu... Ya Jaane Na",2008,"International Movies","Soft-spoken Jai and spitfire beauty Aditi couldn't be more different – but their family and friends know that they're a perfect match."
"India","Movie","Jaane Tu... Ya Jaane Na",2008,"Music & Musicals","Soft-spoken Jai and spitfire beauty Aditi couldn't be more different – but their family and friends know that they're a perfect match."
"India","Movie","Gelo",2016,"Dramas","A Punjabi woman who works on a farm must endure the difficulties of living in an oppressive class-based society and a dysfunctional community."
"India","Movie","Gelo",2016,"International Movies","A Punjabi woman who works on a farm must endure the difficulties of living in an oppressive class-based society and a dysfunctional community."
"India","Movie","Kuldip Patwal: I Didn't Do It!",2017,"Dramas","Accused of killing a politician, a local grocer’s fight to prove his innocence reveals his lifelong struggles with injustice leading up to the incident."
"India","Movie","Kuldip Patwal: I Didn't Do It!",2017,"Independent Movies","Accused of killing a politician, a local grocer’s fight to prove his innocence reveals his lifelong struggles with injustice leading up to the incident."
"India","Movie","Kuldip Patwal: I Didn't Do It!",2017,"International Movies","Accused of killing a politician, a local grocer’s fight to prove his innocence reveals his lifelong struggles with injustice leading up to the incident."
"India","Movie","Jora 10 Numbaria",2017,"Action & Adventure","The wounds of a traumatic childhood and a corrupt, unjust system push a young man into becoming a cold-blooded, ruthless gangster."
"India","Movie","Jora 10 Numbaria",2017,"International Movies","The wounds of a traumatic childhood and a corrupt, unjust system push a young man into becoming a cold-blooded, ruthless gangster."
"India","Movie","Luv Shuv Tey Chicken Khurana",2012,"Comedies","Fleeing London to evade a gangland debt collector, Omi Khurana returns to his native village in India, passing himself off as a successful lawyer."
"India","Movie","Luv Shuv Tey Chicken Khurana",2012,"International Movies","Fleeing London to evade a gangland debt collector, Omi Khurana returns to his native village in India, passing himself off as a successful lawyer."
"India","Movie","Luv Shuv Tey Chicken Khurana",2012,"Romantic Movies","Fleeing London to evade a gangland debt collector, Omi Khurana returns to his native village in India, passing himself off as a successful lawyer."
"India","Movie","The Shaukeens",2014,"Comedies","Three sexually frustrated men in their 60s have the adventure of a lifetime after meeting an intriguing young woman during a holiday in Mauritius."
"India","Movie","The Shaukeens",2014,"International Movies","Three sexually frustrated men in their 60s have the adventure of a lifetime after meeting an intriguing young woman during a holiday in Mauritius."
"India","Movie","The Shaukeens",2014,"Music & Musicals","Three sexually frustrated men in their 60s have the adventure of a lifetime after meeting an intriguing young woman during a holiday in Mauritius."
"India","Movie","Super Deluxe",2019,"Comedies","Sex, stigma and spirituality merge in these eccentric stories of an angsty teenager, an unfaithful wife and a transgender woman returning to her past."
"India","Movie","Super Deluxe",2019,"Dramas","Sex, stigma and spirituality merge in these eccentric stories of an angsty teenager, an unfaithful wife and a transgender woman returning to her past."
"India","Movie","Super Deluxe",2019,"International Movies","Sex, stigma and spirituality merge in these eccentric stories of an angsty teenager, an unfaithful wife and a transgender woman returning to her past."
"India","Movie","Action Replayy",2010,"Children & Family Movies","Sick of his parents’ constant squabbling, a young man travels back in time to the onset of their romance, with plans to set them up for marital bliss."
"India","Movie","Action Replayy",2010,"Comedies","Sick of his parents’ constant squabbling, a young man travels back in time to the onset of their romance, with plans to set them up for marital bliss."
"India","Movie","Action Replayy",2010,"International Movies","Sick of his parents’ constant squabbling, a young man travels back in time to the onset of their romance, with plans to set them up for marital bliss."
"India","Movie","Satyagraha",2013,"Dramas","In this Bollywood drama, a corporate go-getter sees his priorities shift when personal tragedy brings him face-to-face with political corruption."
"India","Movie","Satyagraha",2013,"International Movies","In this Bollywood drama, a corporate go-getter sees his priorities shift when personal tragedy brings him face-to-face with political corruption."
"India","Movie","Satyagraha",2013,"Music & Musicals","In this Bollywood drama, a corporate go-getter sees his priorities shift when personal tragedy brings him face-to-face with political corruption."
"India","Movie","C Kkompany",2008,"Action & Adventure","To blow off some steam, friends Akshay, Joshi and Lambodar, posing as a gang called C Kkompany, make a phony extortion demand to Joshi's apathetic son. The trio is shocked when their prank call makes them anonymous celebrities."
"India","Movie","C Kkompany",2008,"Comedies","To blow off some steam, friends Akshay, Joshi and Lambodar, posing as a gang called C Kkompany, make a phony extortion demand to Joshi's apathetic son. The trio is shocked when their prank call makes them anonymous celebrities."
"India","Movie","C Kkompany",2008,"International Movies","To blow off some steam, friends Akshay, Joshi and Lambodar, posing as a gang called C Kkompany, make a phony extortion demand to Joshi's apathetic son. The trio is shocked when their prank call makes them anonymous celebrities."
"India","Movie","Har Kisse Ke Hisse: Kaamyaab",2020,"Dramas","After a career of thankless credits, a retired actor returns for a long-awaited leading role but finds he is utterly unprepared for new-age filmmaking."
"India","Movie","Har Kisse Ke Hisse: Kaamyaab",2020,"International Movies","After a career of thankless credits, a retired actor returns for a long-awaited leading role but finds he is utterly unprepared for new-age filmmaking."
"India","Movie","Bachelor Girls",2016,"Documentaries","Through intimate interviews, this documentary explores the stigma facing independent women who seek housing in modern Mumbai."
"India","Movie","Bachelor Girls",2016,"International Movies","Through intimate interviews, this documentary explores the stigma facing independent women who seek housing in modern Mumbai."
"India","Movie","Humko Deewana Kar Gaye",2006,"International Movies","Two kindred spirits who are betrothed to others must decide whether to go through with arranged marriages or brush aside convention for true love."
"India","Movie","Humko Deewana Kar Gaye",2006,"Music & Musicals","Two kindred spirits who are betrothed to others must decide whether to go through with arranged marriages or brush aside convention for true love."
"India","Movie","Humko Deewana Kar Gaye",2006,"Romantic Movies","Two kindred spirits who are betrothed to others must decide whether to go through with arranged marriages or brush aside convention for true love."
"India","Movie","Anwar",2007,"Dramas","Seeking refuge in a Hindu temple after the tragic death of the girl he loved, a Muslim youth is caught by the police, who mistake him for an enemy."
"India","Movie","Anwar",2007,"Independent Movies","Seeking refuge in a Hindu temple after the tragic death of the girl he loved, a Muslim youth is caught by the police, who mistake him for an enemy."
"India","Movie","Anwar",2007,"International Movies","Seeking refuge in a Hindu temple after the tragic death of the girl he loved, a Muslim youth is caught by the police, who mistake him for an enemy."
"India","Movie","Mundeyan Ton Bachke Rahin",2014,"Comedies","When they both fall for the same girl, best pals and shameless womanizers Prince and Jassi go head-to-head to compete for her love."
"India","Movie","Mundeyan Ton Bachke Rahin",2014,"International Movies","When they both fall for the same girl, best pals and shameless womanizers Prince and Jassi go head-to-head to compete for her love."
"India","Movie","Mundeyan Ton Bachke Rahin",2014,"Music & Musicals","When they both fall for the same girl, best pals and shameless womanizers Prince and Jassi go head-to-head to compete for her love."
"India","Movie","Tere Naal Love Ho Gaya",2012,"Comedies","Mini isn't eager to wed the rich suitor who's been chosen for her, so she stages her own kidnapping and runs off with a man who works for her father."
"India","Movie","Tere Naal Love Ho Gaya",2012,"International Movies","Mini isn't eager to wed the rich suitor who's been chosen for her, so she stages her own kidnapping and runs off with a man who works for her father."
"India","Movie","Tere Naal Love Ho Gaya",2012,"Romantic Movies","Mini isn't eager to wed the rich suitor who's been chosen for her, so she stages her own kidnapping and runs off with a man who works for her father."
"India","TV Show","Khan: No. 1 Crime Hunter",2018,"Crime TV Shows","From fake marriages to online shopping fraud, a whip-smart police officer investigates truly baffling cons that were inspired by true stories."
"India","TV Show","Khan: No. 1 Crime Hunter",2018,"International TV Shows","From fake marriages to online shopping fraud, a whip-smart police officer investigates truly baffling cons that were inspired by true stories."
"India","TV Show","Khan: No. 1 Crime Hunter",2018,"TV Comedies","From fake marriages to online shopping fraud, a whip-smart police officer investigates truly baffling cons that were inspired by true stories."
"India","Movie","Jai Mummy Di",2020,"Comedies","Sick of keeping their love a secret from their constantly bickering mothers, a young couple seeks to uncover the cause of the women’s longstanding war."
"India","Movie","Jai Mummy Di",2020,"International Movies","Sick of keeping their love a secret from their constantly bickering mothers, a young couple seeks to uncover the cause of the women’s longstanding war."
"India","Movie","Jai Mummy Di",2020,"Romantic Movies","Sick of keeping their love a secret from their constantly bickering mothers, a young couple seeks to uncover the cause of the women’s longstanding war."
"India","Movie","Class of '83",2020,"Dramas","Demoted to an academy job, a cop trains five foolhardy students as assassins in his risky revenge plot against police corruption and the underworld."
"India","Movie","Class of '83",2020,"International Movies","Demoted to an academy job, a cop trains five foolhardy students as assassins in his risky revenge plot against police corruption and the underworld."
"India","Movie","Class of '83",2020,"Thrillers","Demoted to an academy job, a cop trains five foolhardy students as assassins in his risky revenge plot against police corruption and the underworld."
"India","Movie","Jail",2009,"Dramas","Incarcerated for a crime he didn’t commit, a young man must navigate the crowded, cut-throat environment of prison as he awaits trial."
"India","Movie","Jail",2009,"International Movies","Incarcerated for a crime he didn’t commit, a young man must navigate the crowded, cut-throat environment of prison as he awaits trial."
"India","Movie","Gour Hari Dastaan: The Freedom File",2015,"Dramas","A former freedom fighter is forced to navigate the corridors of a disinterested bureaucracy to prove that he fought in India's freedom movement."
"India","Movie","Gour Hari Dastaan: The Freedom File",2015,"Independent Movies","A former freedom fighter is forced to navigate the corridors of a disinterested bureaucracy to prove that he fought in India's freedom movement."
"India","Movie","Gour Hari Dastaan: The Freedom File",2015,"International Movies","A former freedom fighter is forced to navigate the corridors of a disinterested bureaucracy to prove that he fought in India's freedom movement."
"India","Movie","Billu",2009,"Dramas","An Indian village is abuzz with news that a major movie star is coming to town – even more so because the town barber went to school with him. But as the day of the actor's visit approaches, the humble barber begins to worry he won't be recognized."
"India","Movie","Billu",2009,"International Movies","An Indian village is abuzz with news that a major movie star is coming to town – even more so because the town barber went to school with him. But as the day of the actor's visit approaches, the humble barber begins to worry he won't be recognized."
"India","Movie","Calendar Girls",2015,"Dramas","Five calendar models try to navigate the twists and turns thrown in their path by the seductive and ruthless world of glamour."
"India","Movie","Calendar Girls",2015,"International Movies","Five calendar models try to navigate the twists and turns thrown in their path by the seductive and ruthless world of glamour."
"India","Movie","Kyo Kii... Main Jhuth Nahin Bolta",2001,"Comedies","The life and career of a lawyer are thrown into chaos when his son's wish magically renders him incapable of telling a lie."
"India","Movie","Kyo Kii... Main Jhuth Nahin Bolta",2001,"International Movies","The life and career of a lawyer are thrown into chaos when his son's wish magically renders him incapable of telling a lie."
"India","Movie","Kyo Kii... Main Jhuth Nahin Bolta",2001,"Sci-Fi & Fantasy","The life and career of a lawyer are thrown into chaos when his son's wish magically renders him incapable of telling a lie."
"India","Movie","The Plan",2015,"Dramas","After being sent to a remote prison, three young men suffer under the watchful eye of their jailer and make a meticulous plan to escape."
"India","Movie","The Plan",2015,"International Movies","After being sent to a remote prison, three young men suffer under the watchful eye of their jailer and make a meticulous plan to escape."
"India","Movie","The Plan",2015,"Thrillers","After being sent to a remote prison, three young men suffer under the watchful eye of their jailer and make a meticulous plan to escape."
"India","Movie","Upstarts",2019,"Comedies","Hoping to do good while making millions, three college graduates create a startup. But as business begins to flourish, their own bond starts to fray."
"India","Movie","Upstarts",2019,"Dramas","Hoping to do good while making millions, three college graduates create a startup. But as business begins to flourish, their own bond starts to fray."
"India","Movie","Upstarts",2019,"International Movies","Hoping to do good while making millions, three college graduates create a startup. But as business begins to flourish, their own bond starts to fray."
"India","Movie","Ragini MMS",2011,"Horror Movies","A couple out to have a sensuous weekend at a house outside of Mumbai finds it rigged with surveillance cameras and occupied by an evil entity."
"India","Movie","Ragini MMS",2011,"International Movies","A couple out to have a sensuous weekend at a house outside of Mumbai finds it rigged with surveillance cameras and occupied by an evil entity."
"India","Movie","Jaoon Kahan Bata Ae Dil",2018,"Dramas","A couple’s caustic, increasingly jarring interactions over a Mumbai evening strain their relationship until it threatens to break at its fraying seams."
"India","Movie","Jaoon Kahan Bata Ae Dil",2018,"Independent Movies","A couple’s caustic, increasingly jarring interactions over a Mumbai evening strain their relationship until it threatens to break at its fraying seams."
"India","Movie","Jaoon Kahan Bata Ae Dil",2018,"International Movies","A couple’s caustic, increasingly jarring interactions over a Mumbai evening strain their relationship until it threatens to break at its fraying seams."
"India","Movie","Madras Café",2013,"Dramas","An Indian intelligence agent journeys to a war-torn coastal island to break a resolute rebel group and meets a passionate journalist."
"India","Movie","Madras Café",2013,"International Movies","An Indian intelligence agent journeys to a war-torn coastal island to break a resolute rebel group and meets a passionate journalist."
"India","Movie","Madras Café",2013,"Thrillers","An Indian intelligence agent journeys to a war-torn coastal island to break a resolute rebel group and meets a passionate journalist."
"India","Movie","Rahasya",2015,"Dramas","The murder of a teenage girl found dead in her bedroom opens up a twisted investigation that leads into a dark, murky labyrinth of secrets and lies."
"India","Movie","Rahasya",2015,"International Movies","The murder of a teenage girl found dead in her bedroom opens up a twisted investigation that leads into a dark, murky labyrinth of secrets and lies."
"India","TV Show","The Golden Years with Javed Akhtar",2016,"Docuseries","Writer, poet and lyricist Javed Akhtar hosts this musical trip down memory lane, revealing untold stories behind India's best songs of 1950-75."
"India","TV Show","The Golden Years with Javed Akhtar",2016,"International TV Shows","Writer, poet and lyricist Javed Akhtar hosts this musical trip down memory lane, revealing untold stories behind India's best songs of 1950-75."
"India","TV Show","Masaba Masaba",2020,"International TV Shows","Real life mom-daughter duo Neena and Masaba Gupta play versions of themselves in this playful, fictional peek into their lives in fashion and film."
"India","TV Show","Masaba Masaba",2020,"TV Comedies","Real life mom-daughter duo Neena and Masaba Gupta play versions of themselves in this playful, fictional peek into their lives in fashion and film."
